"address","city","state","zip","full_address","lat","long","id","input_address","match_indicator","match_type","matched_address","tiger_line_id","tiger_side","state_fips","county_fips","census_tract","census_block"
"4021 dayton-xenia road","beavercreek","OH",45432,"4021 dayton-xenia road, beavercreek, OH, 45432",39.737285666196,-84.0840753676927,6530,"4021 dayton-xenia road, beavercreek, OH, 45432, , , ","Match","Non_Exact","4021 N DAYTON XENIA RD, BEAVERCREEK, OH, 45432","143376673","L","39","057","210202","1031"
"327 e mill st","circleville","OH",NA,"327 e mill st, circleville, OH, NA",39.5961483910422,-82.9419635332969,6531,"327 e mill st, circleville, OH, NA, , , ","Match","Non_Exact","327 E MILL ST, CIRCLEVILLE, OH, 43113","37447452","L","39","129","020200","2013"
"7829 gatewood oval","gates mills","OH",NA,"7829 gatewood oval, gates mills, OH, NA",41.5681332950197,-81.3961715939218,6532,"7829 gatewood oval, gates mills, OH, NA, , , ","Match","Non_Exact","7829 GATEWOOD OVAL, GATES MILLS, OH, 44040","61136842","R","39","035","194500","2000"
"110 county road 26","gibsonburg","OH",43431,"110 county road 26, gibsonburg, OH, 43431",41.3461692068277,-83.3786680094752,6533,"110 county road 26, gibsonburg, OH, 43431, , , ","Match","Exact","110 CO RD 26, GIBSONBURG, OH, 43431","38667290","L","39","143","961100","1022"
"8154 humphrey hill dr","concord township","OH",44077,"8154 humphrey hill dr, concord township, OH, 44077",41.6494951186372,-81.2725163837585,6534,"8154 humphrey hill dr, concord township, OH, 44077, , , ","Match","Exact","8154 HUMPHREY HILL DR, CONCORD TOWNSHIP, OH, 44077","641741247","L","39","085","205100","1023"
"11700 princeton pike sp. c215","cincinnati","OH",45246,"11700 princeton pike sp. c215, cincinnati, OH, 45246",39.290089542603,-84.4666251349383,6535,"11700 princeton pike sp. c215, cincinnati, OH, 45246, , , ","Match","Exact","11700 PRINCETON PIKE, CINCINNATI, OH, 45246","103958564","R","39","061","022301","2003"
"27981 n woodland rd","pepper pike","OH",44124,"27981 n woodland rd, pepper pike, OH, 44124",41.4921309494473,-81.4804446115988,6536,"27981 n woodland rd, pepper pike, OH, 44124, , , ","Match","Exact","27981 N WOODLAND RD, PEPPER PIKE, OH, 44124","61167772","L","39","035","179101","1003"
"5091 langcroft dr","hilliard","OH",43026,"5091 langcroft dr, hilliard, OH, 43026",40.0008012786005,-83.1465697803208,6537,"5091 langcroft dr, hilliard, OH, 43026, , , ","Match","Exact","5091 LANGCROFT DR, HILLIARD, OH, 43026","218681550","R","39","049","007965","1000"
"1684 mechanicsburg rd","wooster","OH",44691,"1684 mechanicsburg rd, wooster, OH, 44691",40.8204824992895,-81.9628634842029,6538,"1684 mechanicsburg rd, wooster, OH, 44691, , , ","Match","Exact","1684 MECHANICSBURG RD, WOOSTER, OH, 44691","635492649","L","39","169","000700","4042"
"103 partridge ln","chagrin falls","OH",44022,"103 partridge ln, chagrin falls, OH, 44022",41.4826584164877,-81.3848138129807,6539,"103 partridge ln, chagrin falls, OH, 44022, , , ","Match","Exact","103 PARTRIDGE LN, CHAGRIN FALLS, OH, 44022","137432880","L","39","055","311500","2008"
