tendigit_fips,year,subdivisionname,subdivisiontype,county,taxtype,purpose2,description,duration,millagepercent,votesfor,votesagainst,votes_pct_for,votes_pct_against,fips_id,margin_against,failed_levy,close_3,close_5,close_7_5
3900533236,1999,Hanover,Township,Ashland,Property,roads,R,5,1.2,212,56,79.10447692871094,20.895523071289063,3900533236,-29.104476928710938,0,0,0,0
3900533236,2004,Hanover,Township,Ashland,Property,roads,R,5,1.2,335,167,66.73307037353516,33.266929626464844,3900533236,-16.733070373535156,0,0,0,0
3900533236,2009,Hanover,Township,Ashland,Property,roads,R,5,1.2,268,106,71.65775299072266,28.342247009277344,3900533236,-21.657752990722656,0,0,0,0
3900533236,2014,Hanover,Township,Ashland,Property,roads,R,5,1.2,226,107,67.86786651611328,32.13213348388672,3900533236,-17.86786651611328,0,0,0,0
3900533236,2020,Hanover,Township,Ashland,property,roads,R,5,1.2,144,22,86.74698638916016,13.253013610839844,3900533236,-36.746986389160156,0,0,0,0
3900537660,1994,Jackson,Township,Ashland,Property,roads,A,-999,1,269,255,51.33587646484375,48.66412353515625,3900537660,-1.33587646484375,0,1,1,1
3900541272,1991,Lake,Township,Ashland,Property,roads,R,5,1.5,227,2603,8.021201133728027,91.97879791259766,3900541272,41.978797912597656,1,0,0,0
3900541272,1997,Lake,Township,Ashland,Property,roads,A,5,1.5,62,38,62,38,3900541272,-12,0,0,0,0
3900541272,2001,Lake,Township,Ashland,Property,roads,R,5,1.5,169,29,85.3535385131836,14.646461486816406,3900541272,-35.353538513183594,0,0,0,0
3900541272,2004,Lake,Township,Ashland,Property,roads,A,5,1.5,68,73,48.226951599121094,51.773048400878906,3900541272,1.7730484008789063,1,1,1,1
3900541272,2010,Lake,Township,Ashland,Property,roads,R,5,1.5,108,47,69.67742156982422,30.32257843017578,3900541272,-19.67742156982422,0,0,0,0
3900541272,2014,Lake,Township,Ashland,Property,roads,R,5,1.5,227,43,84.0740737915039,15.925926208496094,3900541272,-34.074073791503906,0,0,0,0
3900541272,2021,Lake,Township,Ashland,property,roads,R,5,1.5,110,27,80.2919692993164,19.708030700683594,3900541272,-30.291969299316406,0,0,0,0
3900550050,1994,Mifflin,Township,Ashland,Property,roads,R,5,2,315,171,64.81481170654297,35.18518829345703,3900550050,-14.814811706542969,0,0,0,0
