fips_id,year,pop,medfamy,poverty,unemprate,pctown,pctrent
3900108350,2006,1384.333333,58897.90333,0.1925,0.105666667,0.814774341,0.185225659
3900108350,2007,1377.555556,60850.16889,0.200583333,0.108777778,0.838148681,0.161851319
3900108350,2008,1370.777778,62802.43444,0.208666667,0.111888889,0.861523021,0.138476979
3900108350,2009,1364,64754.7,0.21675,0.115,0.884897361,0.115102639
3900108350,2010,1422,48889,0.224833333,0.19,0.853727145,0.146272855
3900108350,2011,1550,52137.5,0.232916667,0.214,0.878709677,0.121290323
3900108350,2012,1412,42290.2,0.241,0.201,0.886685552,0.113314448
3900108350,2013,1651,42926.98,0.218,0.17,0.851605088,0.148394912
3900108350,2014,1744,42631.88,0.132,0.114,0.837155963,0.162844037
3900108350,2015,1761,38742.12,0.223,0.077,0.831345826,0.168654174
3900108350,2016,1644,36305.359375,0.24400000274181366,0.017999999225139618,0.7785888314247131,0.22141119837760925
3900108350,2017,1668,36131.328125,0.23100000619888306,0.032999999821186066,0.7691846489906311,0.2308153510093689
3900108350,2018,1506,36681.80859375,0.2840000092983246,0.07000000029802322,0.7941567301750183,0.20584329962730408
3900108350,2019,1223,32895,0.3089999854564667,0.06499999761581421,0.8601799011230469,0.13982011377811432
3900108350,2020,1100,23520,0.20999999344348907,0.08500000089406967,0.8327272534370422,0.16727273166179657
3900108350,2021,1002,24623.609375,0.1459999978542328,0.08799999952316284,0.9411177635192871,0.05888223648071289
3900109722,2006,1042.333333,44047.71333,0.2015,0.036333333,0.791068084,0.208931916
3900109722,2007,1017.888889,45283.26222,0.195416667,0.033888889,0.807392483,0.192607517
3900109722,2008,993.4444444,46518.81111,0.189333333,0.031444444,0.823716881,0.176283119
3900109722,2009,969,47754.36,0.18325,0.029,0.84004128,0.15995872
3900109722,2010,921,36848,0.177166667,0.039,0.843648209,0.156351792
3900109722,2011,798,35970.51,0.171083333,0.006,0.84085213,0.15914787
3900109722,2012,838,40648.6,0.165,0.058,0.844868735,0.155131265
3900109722,2013,918,40863.68,0.136,0.087,0.921568628,0.078431373
