fips_id,year,pop,medfamy,poverty,unemprate,pctown,pctrent,fatal_crashes,fatalities,persons_involved,vehicles_involved,any_fatal_crash,tendigit_fips,subdivisionname,subdivisiontype,county,taxtype,purpose2,description,duration,millagepercent,votesfor,votesagainst,votes_pct_for,votes_pct_against,margin_against,failed_levy,close_3,close_5,close_7_5,n_sales,median_sale_amount,mean_sale_amount,log_median_sale_amount,log_mean_sale_amount,total_wages,avg_persons,establishments,entrants,exits,fatal_crashes_per_10k,fatalities_per_10k,log_total_wages,log_avg_persons,log_establishments
3900108350,2006,1384.333333,58897.90333,0.1925,0.105666667,0.814774341,0.185225659,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,51230.00000000001,66032.38793103448,10.844080576933248,11.09790062686962,300546,17,6,6,1,0,0,12.613356099445122,2.833213344056216,1.791759469228055
3900108350,2007,1377.555556,60850.16889,0.200583333,0.108777778,0.838148681,0.161851319,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,55105,70497.68210526316,10.916995735125642,11.16333511032034,228543,16,6,1,0,0,0,12.339479655419485,2.772588722239781,1.791759469228055
3900108350,2008,1370.777778,62802.43444,0.208666667,0.111888889,0.861523021,0.138476979,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,30797,60110.52673469388,10.335172561620322,11.00394025884116,279148,15,7,1,0,0,0,12.539497386105998,2.70805020110221,1.9459101490553132
3900108350,2009,1364,64754.7,0.21675,0.115,0.884897361,0.115102639,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,30642.5,115590.4625,10.33014321321532,11.657808727491483,246087,14,7,0,2,0,0,12.413440410928645,2.6390573296152584,1.9459101490553132
3900108350,2010,1422,48889,0.224833333,0.19,0.853727145,0.146272855,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,42000,63194.555555555555,10.645424897265505,11.05397343015129,179993,12,5,0,1,0,0,12.100673240227266,2.4849066497880004,1.6094379124341003
3900108350,2011,1550,52137.5,0.232916667,0.214,0.878709677,0.121290323,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,30380,39074,10.321539776149764,10.57321256315158,267130,14,6,2,0,0,0,12.495490710275003,2.6390573296152584,1.791759469228055
3900108350,2012,1412,42290.2,0.241,0.201,0.886685552,0.113314448,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,67200,65409.230769230766,11.11542852651124,11.088418670745927,270934,14,6,0,1,0,0,12.509630527765138,2.6390573296152584,1.791759469228055
3900108350,2013,1651,42926.98,0.218,0.17,0.851605088,0.148394912,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,70030,71912.92071428572,11.156679000649564,11.18321123151822,260022,16,7,2,1,0,0,12.4685215218026,2.772588722239781,1.9459101490553132
3900108350,2014,1744,42631.88,0.132,0.114,0.837155963,0.162844037,0,0,0,0,0,3900108350,Bratton,Township,Adams,Property,roads,A,5,2,159,207,43.442623138427734,56.557376861572266,6.557376861572266,1,0,0,1,22,49987.5,55140.714545454546,10.819528253155074,10.917643643243451,340448,15,8,2,1,0,0,12.738017676316092,2.70805020110221,2.0794415416798357
3900108350,2015,1761,38742.12,0.223,0.077,0.831345826,0.168654174,0,0,0,0,0,3900108350,Bratton,Township,Adams,Property,roads,A,5,2,228,210,52.05479431152344,47.94520568847656,-2.0547943115234375,0,1,1,1,34,47778.75,57445.443529411765,10.7743362589637,10.958590968197893,406899,17,9,2,2,0,0,12.91632027638047,2.833213344056216,2.1972245773362196
