fips_id,year,n_sales,median_sale_amount,mean_sale_amount,log_median_sale_amount,log_mean_sale_amount,fatal_crashes,fatalities,persons_involved,vehicles_involved,any_fatal_crash,pop,medfamy,poverty,unemprate,pctown,pctrent,votes_pct_for,votes_pct_against,purpose2,description,fatal_crashes_per_10k,fatalities_per_10k
3900108350,2006,29,51230.00000000001,66032.38793103448,10.844080576933248,11.097900626869619,0,0,0,0,0,1384.333333,58897.90333,0.1925,0.105666667,0.814774341,0.185225659,NA,NA,NA,NA,0,0
3900108350,2007,57,55105,70497.68210526316,10.916995735125642,11.16333511032034,0,0,0,0,0,1377.555556,60850.16889,0.200583333,0.108777778,0.838148681,0.161851319,NA,NA,NA,NA,0,0
3900108350,2008,49,30797,60110.52673469388,10.335172561620322,11.00394025884116,0,0,0,0,0,1370.777778,62802.43444,0.208666667,0.111888889,0.861523021,0.138476979,NA,NA,NA,NA,0,0
3900108350,2009,44,30642.5,115590.4625,10.33014321321532,11.657808727491485,0,0,0,0,0,1364,64754.7,0.21675,0.115,0.884897361,0.115102639,NA,NA,NA,NA,0,0
3900108350,2010,27,42000,63194.555555555555,10.645424897265505,11.05397343015129,0,0,0,0,0,1422,48889,0.224833333,0.19,0.853727145,0.146272855,NA,NA,NA,NA,0,0
3900108350,2011,7,30380,39074,10.321539776149764,10.57321256315158,0,0,0,0,0,1550,52137.5,0.232916667,0.214,0.878709677,0.121290323,NA,NA,NA,NA,0,0
3900108350,2012,26,67200,65409.230769230766,11.115428526511241,11.088418670745927,0,0,0,0,0,1412,42290.2,0.241,0.201,0.886685552,0.113314448,NA,NA,NA,NA,0,0
3900108350,2013,28,70030,71912.92071428572,11.156679000649563,11.183211231518221,0,0,0,0,0,1651,42926.98,0.218,0.17,0.851605088,0.148394912,NA,NA,NA,NA,0,0
3900108350,2014,22,49987.5,55140.714545454546,10.819528253155074,10.917643643243453,0,0,0,0,0,1744,42631.88,0.132,0.114,0.837155963,0.162844037,43.442623138427734,56.557376861572266,roads,A,0,0
3900108350,2015,34,47778.75,57445.443529411765,10.7743362589637,10.958590968197893,0,0,0,0,0,1761,38742.12,0.223,0.077,0.831345826,0.168654174,52.05479431152344,47.94520568847656,roads,A,0,0
