	(1)	(2)	(3)	(4)
	dvar	dvar	dvar	dvar
A_dydums24	2.32131e+03	3.44364e+03	-7.22277e+02	220.54373400
	4.07757e+03	3.39508e+03	928.69667438	2.66445e+03
A_dydums25	0.00000000	0.00000000	0.00000000	0.00000000
	0.00000000	0.00000000	0.00000000	0.00000000
A_dydums26	0.00000000	0.00000000	0.00000000	0.00000000
	0.00000000	0.00000000	0.00000000	0.00000000
A_dydums27	0.00000000	0.00000000	0.00000000	0.00000000
	0.00000000	0.00000000	0.00000000	0.00000000
A_dydums28	0.00000000	0.00000000	0.00000000	0.00000000
	0.00000000	0.00000000	0.00000000	0.00000000
A_dydums29	0.00000000	0.00000000	0.00000000	0.00000000
	0.00000000	0.00000000	0.00000000	0.00000000
A_dydums30	0.00000000	0.00000000	0.00000000	0.00000000
	0.00000000	0.00000000	0.00000000	0.00000000
A_dydums31	0.00000000	0.00000000	0.00000000	0.00000000
	0.00000000	0.00000000	0.00000000	0.00000000
A_dydums32	0.00000000	0.00000000	0.00000000	0.00000000
	0.00000000	0.00000000	0.00000000	0.00000000
A_dydums33	0.00000000	0.00000000	0.00000000	0.00000000
	0.00000000	0.00000000	0.00000000	0.00000000
A_dydums34	0.00000000	0.00000000	0.00000000	0.00000000
	0.00000000	0.00000000	0.00000000	0.00000000
A_dydums35	0.00000000	0.00000000	0.00000000	0.00000000
	0.00000000	0.00000000	0.00000000	0.00000000
A_dydums36	0.00000000	0.00000000	0.00000000	0.00000000
	0.00000000	0.00000000	0.00000000	0.00000000
A_dydums37	0.00000000	0.00000000	0.00000000	0.00000000
	0.00000000	0.00000000	0.00000000	0.00000000
A_dydums38	0.00000000	0.00000000	0.00000000	0.00000000
	0.00000000	0.00000000	0.00000000	0.00000000
A_dydums39	0.00000000	0.00000000	0.00000000	0.00000000
	0.00000000	0.00000000	0.00000000	0.00000000
A_win_1	305.96262619	249.89512052	44.45178770	67.41560797
	166.31656225	143.02763828	41.03970144	120.17411893
A_win_2	850.44659600	764.92958378	3.02425959	-37.21255744
	202.57062489	173.81882996	48.36523893	143.93950672
A_win_3	1.15533e+03	1.06794e+03	-9.93696787	-1.50072e+02
	255.20584418	223.76956797	46.18815081	165.59024390
A_win_4	872.14882698	800.07123598	-27.72175493	9.95330272
	289.78854754	252.75063705	58.51078277	164.58005807
A_win_5	218.91291997	270.07473355	-21.61587036	38.30696667
	296.07908934	248.30502558	73.02745611	161.31134119
A_win_6	-2.77467e+02	-2.97960e+02	-20.54163960	-1.29970e+02
	312.85899530	250.95349261	75.13431966	179.00873463
A_win_7	-3.78084e+02	-3.29499e+02	37.97402344	-86.51569581
	295.51815104	247.34627934	78.74711777	166.32389137
A_win_8	-3.01379e+02	-2.33315e+02	-25.84041282	-64.40399595
	319.47766393	246.90050219	83.84523557	201.27277624
A_win_9	-5.27598e+02	-3.00330e+02	-64.02403682	-2.86042e+02
	321.02752137	265.24446387	89.77732236	196.65699928
A_win_10	-4.94485e+02	-2.66079e+02	-80.69772519	-1.01481e+02
	335.16237810	267.98393398	97.47310853	210.71572866
A_win_11	-2.15216e+02	-44.23142486	-1.09714e+02	-5.10328714
	354.28289405	286.73207280	104.30294744	210.22977986
A_win_12	-2.26421e+02	-96.04362435	-78.15264120	2.14218572
	391.64665125	322.60439499	110.63001053	256.41369063
A_win_13	-1.68212e+02	-36.78447242	-97.76637049	32.68141809
	429.37625040	356.47600075	120.57299062	266.62623519
A_win_14	90.15477388	93.54711593	-59.24923134	180.12024315
	446.04370470	350.51222522	134.96030499	280.16233247
A_win_15	-1.22883e+02	-1.63374e+02	-94.68758552	-33.33929500
	464.42887085	381.40374527	115.34040428	317.78142812
A_win_16	-3.97213e+02	-3.42619e+02	-91.84526346	87.10538861
	646.21121291	558.39842594	145.22080602	555.61672456
A_win_17	-6.13953e+02	-7.52224e+02	-13.50559494	306.47525593
	619.04280042	434.03500974	161.37627502	440.35004602
A_win_18	-1.16668e+03	-1.19645e+03	70.09127673	627.67743726
	883.16957316	704.27777136	187.27230067	642.98236534
A_win_19	0.00000000	0.00000000	0.00000000	0.00000000
	0.00000000	0.00000000	0.00000000	0.00000000
A_req_1	10.91996005	8.44881993	4.49932505	6.74925656
	12.47748011	9.78958962	2.93873386	7.71599477
A_req_2	18.22820556	14.82887733	5.80845822	-3.99794780
	16.58304628	13.01348552	3.97641778	10.62408123
A_req_3	43.61662999	39.53069423	5.15623150	-0.27132396
	19.94620859	16.69061838	4.14547381	11.88879441
A_req_4	33.93356022	22.43035023	8.77282886	17.10186477
	26.75636316	24.08769539	5.03020431	12.53824534
