"tendigit_fips","year","tax_type","purpose2","description","millage_percent","duration","votes_pct_for","fail_flg"
3900579758,1999,"Property","roads","R",1.5,5,85.4003139717425,0
3900579758,2002,"Property","roads","R",0.8,5,56.0830860534125,0
3900579758,2004,"Property","roads","R",1.5,5,55.591054313099,0
3900579758,2008,"Property","roads","R",0.08,5,46.3900414937759,1
3900579758,2010,"Property","roads","R",1.5,5,78.5571142284569,0
3900579758,2012,"Property","roads","R",0.8,5,64,0
3900579758,2014,"Property","roads","R",1.5,5,70.4878048780488,0
3900702050,2011,"Property","roads","R",2,5,62.7952755905512,0
3900702064,1993,"Property","roads","R",2,5,69.6470588235294,0
3900702064,1994,"Property","roads","R",1,5,63.6743215031315,0
3900702064,1997,"Property","roads","A",2,5,64.6706586826347,0
3900702064,1998,"Property","roads","R",2,5,62.208067940552,0
3900702064,2000,"Property","roads","R",1,5,61.1295681063123,0
3900702064,2001,"Property","roads","R",2,5,70.1098901098901,0
3900702064,2002,"Property","roads","R",2,5,54.0045766590389,0
3900702064,2005,"Property","roads","R",1,5,57.2429906542056,0
3900702064,2006,"Property","roads","R",2,5,58.9198036006547,0
3900702064,2009,"Property","roads","R",1,5,65.1162790697674,0
3900702064,2011,"Property","roads","R",2,5,62.7952755905512,0
3900702064,2012,"Property","roads","R",2,5,60.0765306122449,0
3900702064,2014,"Property","roads","R",1,5,70.440251572327,0
3900702064,2017,"Property","roads","R",2,5,70.9090909090909,0
3900702064,2018,"Property","roads","R",2,5,71.4511041009464,0
3900702638,2007,"Income","roads","A",0.2,2,34.5130315500686,1
3900702638,2008,"Income","roads","A",0.15,3,34.7251810822326,1
3900702652,1992,"Property","roads","R",1,5,65.0841346153846,0
3900702652,1997,"Property","roads","R",1,5,63.7755102040816,0
3900702652,2001,"Property","roads","A",1,5,56.5705128205128,0
3900702652,2002,"Property","roads","R",1,5,62.1236133122028,0
3900702652,2005,"Property","roads","R",1,5,61.5971814445097,0
3900702652,2006,"Property","roads","R",1,5,53.2161036557149,0
3900702652,2008,"Property","roads","A",0.5,5,51.1820330969267,0
3900702652,2010,"Property","roads","R",1,5,71.1135018827326,0
3900702652,2011,"Property","roads","R",1.25,5,68.5448577680525,0
3900702652,2012,"Property","roads","R",0.5,5,66.2907772855417,0
3900702652,2014,"Property","roads","A",1,5,61.2645794966237,0
3900702652,2015,"Property","roads","R",1,5,75.1537515375154,0
3900702652,2016,"Property","roads","R",1.25,5,75.4302925989673,0
3900702652,2017,"Property","roads","R",0.5,5,76.6808510638298,0
3900702652,2018,"Property","roads","R",1,5,75.8547008547009,0
3900703156,1992,"Property","roads","R",2,-999,65.3551912568306,0
3900703156,1994,"Property","roads","R",1,5,61.656050955414,0
3900703156,1997,"Property","roads","R",2,5,64.2276422764228,0
3900703156,1999,"Property","roads","R",1,5,68.2310469314079,0
3900703156,2002,"Property","roads","R",2,5,67.9156908665105,0
3900703156,2004,"Property","roads","R",1,5,58.8003157063931,0
3900703156,2007,"Property","roads","R",2,5,69.4189602446483,0
3900703156,2009,"Property","roads","R",1,5,71.6727716727717,0
3900703156,2012,"Property","roads","R",2,5,65.0337837837838,0
3900703156,2014,"Property","roads","R",1,5,74.8780487804878,0
3900703156,2017,"Property","roads","R",2,5,73.9788199697428,0
3900713890,2003,"Property","roads","A",4,4,36.1702127659575,1
3900716560,1994,"Property","roads","R",1.25,5,63.8095238095238,0
3900716560,1999,"Property","roads","R",1.25,5,76.2237762237762,0
3900716560,2004,"Property","roads","R",1.25,4,54.2699724517906,0
3900716560,2008,"Property","roads","R",1.25,4,64.9867374005305,0
3900716560,2013,"Property","roads","A",1.9,5,43.3673469387755,1
3900716560,2014,"Property","roads","A",1.9,5,49.6296296296296,1
3900716560,2015,"Property","roads","A",1.9,5,59.5238095238095,0
3900716560,2016,"Property","roads","R",1.25,4,65.4794520547945,0
3900718350,2004,"Income","roads","A",0.15,1000,40.3348554033485,1
3900718350,2012,"Property","roads","A",2.75,10,48.1751824817518,1
3900718350,2013,"Property","roads","A",2.75,5,55.4891072191371,0
3900718350,2017,"Property","roads","R",2.75,5,65.0244118952508,0
3900721672,1994,"Property","roads","A",1,5,57.2769953051643,0
3900721672,1998,"Property","roads","R",1,5,67.5675675675676,0
3900721672,2000,"Property","roads","A",1.5,5,55.1351351351351,0
3900721672,2003,"Property","roads","R",1,5,70.2702702702703,0
3900721672,2005,"Property","roads","R",1.5,5,62.89592760181,0
3900721672,2009,"Property","roads","R",1,5,75.6756756756757,0
3900721672,2010,"Property","roads","R",1.5,5,72.5190839694656,0
3900721672,2013,"Property","roads","R",1,5,75.1381215469613,0
3900721672,2014,"Property","roads","R",1.5,5,77.7777777777778,0
3900721672,2018,"Property","roads","R",1,5,69.3798449612403,0
3900722344,1994,"Property","roads","R",1,5,69.4915254237288,0
3900722344,1999,"Property","roads","A",1,5,78.2178217821782,0
3900722344,2003,"Property","roads","R",1,5,78.3783783783784,0
3900722344,2008,"Property","roads","R",1,5,68.974358974359,0
3900722344,2014,"Property","roads","R",1,5,75.3968253968254,0
3900729610,1993,"Property","roads","A",2,5,42.3940149625935,1
3900729610,1994,"Property","roads","A",2,5,49.1255961844197,1
3900729610,1998,"Income","roads","A",0.5,2,35.4894104178592,1
3900729610,2001,"Property","roads","A",3,5,44.7332421340629,1
3900729624,1994,"Property","roads","R",1,5,45.9259259259259,1
3900729624,1996,"Property","roads","A",2,5,41.9853539462978,1
3900729624,1997,"Property","roads","A",1,5,49.093107617896,1
3900729624,1998,"Property","roads","A",1,5,44.5848375451264,1
3900729624,1999,"Property","roads","A",1,5,63.785046728972,0
3900729624,2003,"Property","roads","R",1,5,56.0530679933665,0
3900729624,2008,"Property","roads","R",1,5,60.6262491672219,0
3900729624,2013,"Property","roads","R",1,5,64.9206349206349,0
3900729624,2017,"Property","roads","A",1,5,61.3138686131387,0
3900729624,2018,"Property","roads","R",1,5,67.609756097561,0
3900729652,1991,"Property","roads","R",1.5,-999,57.3770491803279,0
3900729652,1995,"Property","roads","R",1.5,5,70.5583756345178,0
3900729652,2000,"Property","roads","A",1.5,4,59.5505617977528,0
3900729652,2004,"Property","roads","R",1.5,4,66.0899653979239,0
3900729652,2009,"Property","roads","R",1.5,4,72.0720720720721,0
3900729652,2012,"Property","roads","R",1.5,4,44.060475161987,1
3900729652,2013,"Property","roads","R",1.5,4,58.9473684210526,0
3900729652,2016,"Property","roads","R",1.5,5,66.2946428571429,0
3900729652,2018,"Property","roads","A",0.9,5,55.2023121387283,0
3900733642,1992,"Property","roads","R",1,5,75.3267973856209,0
3900733642,1993,"Property","roads","A",1,5,54.4,0
3900733642,1996,"Property","roads","R",1,5,61.9227144203581,0
3900733642,1997,"Property","roads","R",1,5,67.0816044260028,0
3900733642,2001,"Property","roads","R",1,5,66.3793103448276,0
3900733642,2003,"Property","roads","R",1,5,55.6390977443609,0
3900733642,2006,"Property","roads","R",1,5,66.7587476979742,0
3900733642,2008,"Property","roads","R",1,5,59.9759615384615,0
3900733642,2011,"Property","roads","R",1,5,64.6700507614213,0
3900733642,2013,"Property","roads","R",1,5,76.865671641791,0
3900733642,2016,"Property","roads","R",1.5,5,64.9226234340457,0
3900733642,2017,"Property","roads","R",1.5,5,58.3333333333333,0
3900734300,1991,"Property","roads","A",2,-999,38.6313465783664,1
3900734300,1992,"Property","roads","A",2,-999,43.992606284658,1
3900734300,1993,"Property","roads","A",2,5,47.6525821596244,1
3900734300,1994,"Property","roads","A",2,5,48.5564304461942,1
3900734300,1995,"Property","roads","A",2,5,57.2192513368984,0
3900734300,1997,"Property","roads","A",1.5,5,57.4468085106383,0
3900734300,1999,"Property","roads","R",2,1000,60.2352941176471,0
3900734300,2001,"Property","roads","R",1.5,5,66.5263157894737,0
3900734300,2004,"Property","roads","R",2,5,60.3343465045593,0
3900734300,2006,"Property","roads","R",1.5,1,49.250936329588,1
3900734300,2007,"Property","roads","R",1.5,1000,68.4210526315789,0
3900734300,2009,"Property","roads","R",2,5,53.1963470319635,0
3900734300,2014,"Property","roads","R",2,5,57.5057736720554,0
3900738500,1993,"Property","roads","R",2,5,63.6150234741784,0
3900738500,1998,"Property","roads","R",2,5,67.2307692307692,0
3900738500,2003,"Property","roads","R",2,5,62.860310421286,0
3900738500,2008,"Property","roads","R",2,5,65.6747404844291,0
3900738500,2010,"Property","roads","R",1.5,5,61.6643929058663,0
3900738500,2013,"Property","roads","R",2,5,66.6243654822335,0
3900738514,1994,"Property","roads","A",2,5,49.5495495495495,1
3900738514,2001,"Property","roads","R",1.5,5,62.7350427350427,0
3900738514,2006,"Property","roads","R",1.5,5,60.8108108108108,0
3900738514,2010,"Property","roads","R",1.5,5,61.6643929058663,0
3900738514,2015,"Property","roads","R",1.5,5,64.8318042813456,0
3900740404,1991,"Property","roads","R",1.5,-999,74.3055555555556,0
3900740404,1994,"Property","roads","A",3,1000,49.0566037735849,1
3900740404,1996,"Property","roads","A",4,5,50.3658536585366,0
3900740404,2000,"Property","roads","R",4,5,70.7201889020071,0
3900740404,2001,"Property","roads","R",1.5,5,66.4516129032258,0
3900740404,2005,"Property","roads","R",1.5,5,56.7233384853168,0
3900740404,2010,"Property","roads","R",4,5,54.8387096774194,0
3900740404,2015,"Property","roads","R",4,5,74.5192307692308,0
3900742742,1993,"Property","roads","R",2,5,54.4554455445545,0
3900742742,1997,"Property","roads","R",2,5,54.9418604651163,0
3900742742,2001,"Property","roads","R",2,5,81.6939890710383,0
3900742742,2004,"Property","roads","R",2,5,36.976320582878,1
3900742742,2010,"Property","roads","R",2,5,44.7236180904523,1
3900742742,2016,"Property","roads","R",2,5,43.0412371134021,1
3900751296,1994,"Property","roads","R",2,5,68.026101141925,0
3900751296,1996,"Property","roads","R",2,5,55.8620689655172,0
3900751296,1998,"Property","roads","A",2,5,55.410447761194,0
