family,sample,outcome,estimate,std_error,t_value,p_value,n_obs,n_counties,mean_outcome
first_stage,close5_finite_duration_recommended_crash,fatal_crashes_per_10k_p1,-0.07169411044951457,1.614054263648584,-0.04441864939995846,0.9647812142693853,77,43,1.6295890412089515
first_stage,close5_finite_duration_recommended_crash,fatal_crashes_per_10k_p2,-0.46348894101799054,1.114931641071407,-0.4157106354723194,0.6797381625675372,77,43,1.006448125401275
first_stage,close5_finite_duration_recommended_crash,fatal_crashes_per_10k_p3,0.4282145562367121,1.3132049713952665,0.32608356316359255,0.7459803791767712,77,43,1.4533628856717329
first_stage,close5_finite_duration_recommended_crash,fatal_crashes_per_10k_post_avg_p1_p3,-0.035656165076932034,0.9687110699825828,-0.036807843103902095,0.9708126141887423,77,43,1.3631333507606531
first_stage,close5_finite_duration_recommended_crash,fatal_crashes_per_10k_diff_p1_p3_vs_pre,0.46761538144478,0.9077722807245637,0.5151241025684765,0.6091670115693355,77,43,-0.2548878911949694
first_stage,close5_finite_duration_recommended_crash,fatalities_per_10k_post_avg_p1_p3,-0.143290924965787,1.148781717655011,-0.12473294339875496,0.9013300789478353,77,43,1.5042524620587812
first_stage,close5_finite_duration_recommended_crash,any_fatal_crash_post_avg_p1_p3,-0.0650112925968887,0.1862342194723457,-0.3490834970129771,0.7287707443755416,77,43,0.31601731601731603
housing_reduced_form,close5_finite_duration_recommended_downstream,log_median_sale_amount_post_avg_p2_p4,0.6055034393616054,0.1799096917569642,3.365596558186348,0.0018654158139113886,59,36,11.377021027548437
housing_reduced_form,close5_finite_duration_recommended_downstream,log_median_sale_amount_diff_p2_p4_vs_pre,0.20186871684652147,0.14436468782041534,1.398324755826987,0.17081384795535262,59,36,0.036710734441594776
housing_reduced_form,close5_finite_duration_recommended_downstream,n_sales_post_avg_p2_p4,-9.076335799683434,13.978386864226561,-0.6493121050263362,0.5203752646486459,59,36,71.16949152542372
housing_reduced_form,close5_finite_duration_recommended_downstream,n_sales_diff_p2_p4_vs_pre,-31.556540514136962,24.66322843075499,-1.2794975565642503,0.20913913169592835,59,36,3.564971751412431
housing_reduced_form_long,close5_finite_duration_recommended_downstream_long,log_median_sale_amount_post_avg_p2_p5,0.46471513057915637,0.2461393558872587,1.8880163592855659,0.07361877815606675,25,21,11.361713497069934
housing_reduced_form_long,close5_finite_duration_recommended_downstream_long,log_median_sale_amount_diff_p2_p5_vs_pre,0.3586502922846504,0.1828214862647176,1.9617513215341675,0.06386047385273348,25,21,0.02664738385522064
housing_reduced_form_long,close5_finite_duration_recommended_downstream_long,n_sales_post_avg_p2_p5,14.248487929997665,19.491489053002255,0.7310107448052043,0.4732506015392537,25,21,67.54666666666667
housing_reduced_form_long,close5_finite_duration_recommended_downstream_long,n_sales_diff_p2_p5_vs_pre,-72.98918510589365,38.646749357775654,-1.888624174576493,0.07353324268165153,25,21,-8.36
